RM,MRM,Count,Action,Sex,Age,Weight,Height,BodyType,CountGroup,AgeGroup,Index,Mult
20,15,10,Squat,Female,20,52,160,Endomorph,7-10,20-27,20.312499999999996,150
37.5,35,2,Bench press,Female,33,50,158,Endomorph,2-3,28-35,20.028841531805796,70
60,48,7,Bench press,Male,28,73,180,Mesomorph,7-10,28-35,22.530864197530864,336
55,50,6,Squat,Female,33,50,158,Endomorph,4-6,28-35,20.028841531805796,300
57,52,4,Bench press,Female,37,48,155,Mesomorph,4-6,>35,19.979188345473464,208
63,55,5,Bench press,Male,15,66,170,Mesomorph,4-6,<20,22.837370242214536,275
65,60,2,Bench press,Female,26,47,158,Mesomorph,2-3,20-27,18.82711103989745,120
70,62,6,Bench press,Male,15,66,177,Ectomorph,4-6,<20,21.06674327300584,372
70,65,3,Bench press,Female,32,52,158,Mesomorph,2-3,28-35,20.82999519307803,195
80,65,6,Bench press,Male,32,75,174,Mesomorph,4-6,28-35,24.772096710265558,390
80,65,7,Bench press,Male,17,84,190,Mesomorph,7-10,<20,23.268698060941826,455
100,70,10,Deadlift,Male,16,63,181,Ectomorph,7-10,<20,19.230182228869694,700
100,80,8,Squat,Male,15,65,175,Mesomorph,7-10,<20,21.224489795918366,640
100,80,8,Bench press,Male,19,66,176,Ectomorph,7-10,<20,21.306818181818183,640
90,85,2,Bench press,Female,26,59,162,Mesomorph,2-3,20-27,22.481329065691202,170
105,85,8,Bench press,Male,19,72,182,Ectomorph,7-10,<20,21.736505252988767,680
115,85,8,Bench press,Male,25,76,174,Endomorph,7-10,20-27,25.102391333069097,680
100,87,2,Bench press,Male,18,71,177,Mesomorph,2-3,<20,22.66270867247598,174
102,90,3,Bench press,Male,30,80,177,Mesomorph,2-3,28-35,25.53544639152223,270
110,90,4,Bench press,Male,15,60,168,Mesomorph,4-6,<20,21.258503401360546,360
100,90,5,Bench press,Male,34,130,198,Endomorph,4-6,28-35,33.15988164473013,450
95,90,6,Bench press,Male,22,74,177,Mesomorph,4-6,20-27,23.620287912158062,540
100,90,7,Bench press,Male,17,95,191,Mesomorph,7-10,<20,26.04095282475809,630
110,90,8,Bench press,Male,23,88,187,Endomorph,7-10,20-27,25.165146272412706,720
105,90,9,Bench press,Male,16,54,167,Ectomorph,7-10,<20,19.362472659471475,810
115,90,9,Bench press,Male,26,94,184,Endomorph,7-10,20-27,27.764650283553873,810
112.5,95,3,Bench press,Male,18,66,170,Ectomorph,2-3,<20,22.837370242214536,285
112,95,5,Bench press,Male,26,87,168,Endomorph,4-6,20-27,30.824829931972793,475
105,100,2,Bench press,Male,18,67,169,Mesomorph,2-3,<20,23.458562375266975,200
107,100,2,Bench press,Male,42,108,190,Ectomorph,2-3,>35,29.916897506925206,200
115,100,5,Squat,Female,19,74,166,Endomorph,4-6,<20,26.85440557410364,500
115,100,5,Bench press,Male,27,78,177,Endomorph,4-6,20-27,24.897060231734173,500
120,100,5,Bench press,Male,60,90,167,Endomorph,4-6,>35,32.2707877657858,500
120,100,5,Bench press,Male,37,95,175,Endomorph,4-6,>35,31.020408163265305,500
115,100,7,Bench press,Male,26,65,165,Ectomorph,7-10,20-27,23.87511478420569,700
120,100,7,Bench press,Male,55,85,182,Ectomorph,7-10,>35,25.661152034778407,700
120,100,8,Bench press,Male,28,74,178,Ectomorph,7-10,28-35,23.355636914530994,800
122,100,8,Bench press,Male,42,80,175,Mesomorph,7-10,>35,26.122448979591837,800
120,100,9,Bench press,Male,25,82,188,Ectomorph,7-10,20-27,23.200543232231773,900
125,100,10,Bench press,Male,19,82.5,181,Mesomorph,7-10,<20,25.1823814901865,1000
125,100,10,Bench press,Male,24,104,164,Endomorph,7-10,20-27,38.66745984533016,1000
125,102.5,9,Bench press,Male,27,93,183,Endomorph,7-10,20-27,27.77031263997133,922.5
115,105,3,Bench press,Male,21,81,175,Endomorph,2-3,20-27,26.448979591836736,315
110,105,3,Bench press,Male,18,95,190,Endomorph,2-3,<20,26.31578947368421,315
110,107,2,Bench press,Male,28,89,176,Endomorph,2-3,28-35,28.731921487603305,214
112.5,107.5,2,Bench press,Male,16,82,174,Mesomorph,2-3,<20,27.08415906989034,215
115,107.5,3,Bench press,Male,27,77,177,Endomorph,2-3,20-27,24.577867151840145,322.5
130,109,5,Bench press,Male,26,108,183,Endomorph,4-6,20-27,32.249395323837675,545
130,110,4,Bench press,Male,33,95,183,Endomorph,4-6,28-35,28.367523664486843,440
120,110,4,Bench press,Male,36,96,173,Endomorph,4-6,>35,32.075912994086,440
120,110,5,Bench press,Male,34,105,184,Endomorph,4-6,28-35,31.013705103969752,550
125,110,5,Bench press,Male,24,110,197,Endomorph,4-6,20-27,28.343940838465304,550
130,110,10,Bench press,Male,18,100,188,Mesomorph,7-10,<20,28.2933454051607,1100
145,110,10,Bench press,Male,26,120,187,Endomorph,7-10,20-27,34.31610855329005,1100
125,115,3,Bench press,Male,21,90,188,Ectomorph,2-3,20-27,25.46401086464463,345
140,115,6,Bench press,Male,17,90,167,Endomorph,4-6,<20,32.2707877657858,690
145,115,10,Bench press,Male,44,84,172,Endomorph,7-10,>35,28.393726338561386,1150
130,120,2,Bench press,Male,34,85,172,Endomorph,2-3,28-35,28.73174689021093,240
127.5,120,3,Squat,Female,32,72,164,Endomorph,2-3,28-35,26.769779892920877,360
130,120,3,Bench press,Male,24,75,170,Ectomorph,2-3,20-27,25.95155709342561,360
135,120,3,Bench press,Male,19,81,180,Mesomorph,2-3,<20,25,360
140,120,4,Squat,Male,29,100,169,Endomorph,4-6,28-35,35.01277966457757,480
135,120,4,Bench press,Male,44,103,182,Ectomorph,4-6,>35,31.095278348025598,480
140,120,5,Bench press,Male,22,78,170,Endomorph,4-6,20-27,26.989619377162633,600
135,120,5,Bench press,Male,20,81,176,Ectomorph,4-6,20-27,26.149276859504134,600
150,120,6,Bench press,Male,31,85,174,Ectomorph,4-6,28-35,28.075042938300964,720
130,120,6,Bench press,Male,21,98,188,Endomorph,4-6,20-27,27.727478497057486,720
140,120,9,Bench press,Male,35,77,164,Mesomorph,7-10,28-35,28.628792385484825,1080
157.5,120,10,Bench press,Male,28,90,170,Endomorph,7-10,28-35,31.14186851211073,1200
135,125,3,Bench press,Male,29,74,170,Ectomorph,2-3,28-35,25.605536332179934,375
140,125,5,Deadlift,Male,20,80,177,Endomorph,4-6,20-27,25.53544639152223,625
140,125,5,Bench press,Male,25,82,170,Endomorph,4-6,20-27,28.373702422145332,625
145,125,5,Bench press,Male,22,103,180,Endomorph,4-6,20-27,31.79012345679012,625
145,125,5,Bench press,Male,22,103,180,Endomorph,4-6,20-27,31.79012345679012,625
140,130,2,Deadlift,Male,18,55,170,Ectomorph,2-3,<20,19.031141868512112,260
140,130,3,Bench press,Male,30,83,178,Mesomorph,2-3,28-35,26.19618735008206,390
140,130,4,Bench press,Male,29,100,169,Endomorph,4-6,28-35,35.01277966457757,520
150,130,5,Bench press,Male,26,85,168,Endomorph,4-6,20-27,30.116213151927443,650
155,130,5,Deadlift,Male,16,93,189,Endomorph,4-6,<20,26.03510540018476,650
162,130,7,Bench press,Male,34,82,174,Endomorph,7-10,28-35,27.08415906989034,910
150,130,7,Bench press,Male,30,100,178,Endomorph,7-10,28-35,31.561671506122963,910
160,130,8,Deadlift,Male,18,70,180,Ectomorph,7-10,<20,21.604938271604937,1040
160,130,8,Deadlift,Male,19,72,182,Ectomorph,7-10,<20,21.736505252988767,1040
160,130,10,Bench press,Male,20,130,176,Endomorph,7-10,20-27,41.96797520661157,1300
160,132.5,8,Bench press,Male,39,94,178,Mesomorph,7-10,>35,29.667971215755585,1060
152,135,6,Bench press,Male,27,90,170,Endomorph,4-6,20-27,31.14186851211073,810
152,136,2,Bench press,Male,45,78,167,Endomorph,2-3,>35,27.968016063681024,272
150,137.5,4,Bench press,Male,26,85,168,Endomorph,4-6,20-27,30.116213151927443,550
150,138,4,Deadlift,Male,34,78,175,Endomorph,4-6,28-35,25.46938775510204,552
150,140,2,Bench press,Male,33,126,176,Endomorph,2-3,28-35,40.67665289256198,280
160,140,3,Squat,Male,28,80,178,Ectomorph,2-3,28-35,25.24933720489837,420
152,140,3,Bench press,Male,38,82,165,Endomorph,2-3,>35,30.119375573921022,420
150,140,3,Bench press,Male,24,84,176,Mesomorph,2-3,20-27,27.117768595041323,420
172,140,5,Bench press,Male,27,83,173,Mesomorph,4-6,20-27,27.732299776136855,700
155,140,5,Bench press,Male,29,125,186,Endomorph,4-6,28-35,36.13134466412301,700
170,140,7,Bench press,Male,46,130,178,Endomorph,7-10,>35,41.03017295795985,980
170,140,10,Deadlift,Male,17,77,177,Mesomorph,7-10,<20,24.577867151840145,1400
180,140,10,Squat,Male,22,98,182,Endomorph,7-10,20-27,29.585798816568044,1400
180,140,10,Bench press,Male,30,105,184,Endomorph,7-10,28-35,31.013705103969752,1400
155,142.5,2,Bench press,Male,26,107,188,Endomorph,2-3,20-27,30.27387958352195,285
150,145,2,Bench press,Male,27,83,175,Mesomorph,2-3,20-27,27.102040816326532,290
175,145,7,Bench press,Male,27,105,180,Endomorph,7-10,20-27,32.407407407407405,1015
155,150,2,Bench press,Male,46,110,183,Endomorph,2-3,>35,32.846606348353184,300
170,150,3,Squat,Male,20,79,175,Mesomorph,2-3,20-27,25.79591836734694,450
160,150,4,Bench press,Male,15,84,180,Mesomorph,4-6,<20,25.925925925925924,600
180,150,6,Bench press,Male,28,83,169,Mesomorph,4-6,28-35,29.060607121599386,900
210,150,10,Squat,Male,42,100,183,Mesomorph,7-10,>35,29.860551225775623,1500
165,157.5,3,Bench press,Male,36,87,180,Ectomorph,2-3,>35,26.85185185185185,472.5
177.5,160,3,Bench press,Male,23,85,175,Ectomorph,2-3,20-27,27.755102040816325,480
190,160,5,Bench press,Male,32,112,188,Endomorph,4-6,28-35,31.688546853779986,800
200,160,6,Deadlift,Male,33,120,186,Endomorph,4-6,28-35,34.686090877558094,960
180,165,2,Bench press,Male,24,110,175,Endomorph,2-3,20-27,35.91836734693877,330
190,170,4,Bench press,Male,30,119,170,Endomorph,4-6,28-35,41.1764705882353,680
195,170,5,Bench press,Male,33,115,186,Endomorph,4-6,28-35,33.240837090993175,850
210,170,8,Bench press,Male,26,115,180,Endomorph,7-10,20-27,35.49382716049382,1360
190,180,2,Deadlift,Male,29,100,169,Endomorph,2-3,28-35,35.01277966457757,360
215,180,3,Squat,Male,20,84,167,Endomorph,2-3,20-27,30.11940191473341,540
200,180,3,Bench press,Male,33,107,186,Mesomorph,2-3,28-35,30.9284310324893,540
210,180,3,Squat,Male,29,125,186,Endomorph,2-3,28-35,36.13134466412301,540
225,180,6,Deadlift,Male,21,90,185,Mesomorph,4-6,20-27,26.296566837107374,1080
220,180,8,Bench press,Male,38,160,188,Endomorph,7-10,>35,45.26935264825712,1440
230,180,10,Squat,Male,24,104,182,Endomorph,7-10,20-27,31.397174254317108,1800
195,185,2,Deadlift,Male,23,81,185,Mesomorph,2-3,20-27,23.66691015339664,370
220,190,4,Squat,Male,28,97,180,Endomorph,4-6,28-35,29.93827160493827,760
210,192.5,3,Squat,Male,36,87,180,Ectomorph,2-3,>35,26.85185185185185,577.5
210,200,2,Squat,Male,24,83,180,Mesomorph,2-3,20-27,25.61728395061728,400
220,200,3,Deadlift,Male,16,120,168,Endomorph,2-3,<20,42.51700680272109,600
230,200,3,Deadlift,Male,29,125,186,Endomorph,2-3,28-35,36.13134466412301,600
222,200,3,Bench press,Male,38,134,185,Endomorph,2-3,>35,39.152666179693206,600
223,200,4,Bench press,Male,44,97,171,Mesomorph,4-6,>35,33.1726001162751,800
225,200,4,Bench press,Male,43,97,171,Mesomorph,4-6,>35,33.1726001162751,800
225,200,6,Bench press,Male,39,102,184,Mesomorph,4-6,>35,30.12759924385633,1200
240,210,4,Squat,Male,33,105,172,Endomorph,4-6,28-35,35.49215792320173,840
235,220,2,Deadlift,Male,35,112,189,Endomorph,2-3,28-35,31.3541054281795,440
262,220,6,Deadlift,Male,33,89,184,Ectomorph,4-6,28-35,26.287807183364837,1320
285,220,8,Squat,Male,35,90,173,Ectomorph,7-10,28-35,30.071168431955627,1760
240,225,3,Deadlift,Male,36,87,180,Ectomorph,2-3,>35,26.85185185185185,675
260,240,2,Deadlift,Male,25,125,194,Mesomorph,2-3,20-27,33.21288128387714,480
300,250,6,Squat,Male,28,117,193,Ectomorph,4-6,28-35,31.410239201052377,1500
